,Border,Date,Measure,Value,Average
1215,US-Mexico Border,2000-03-01,Bus Passengers,238832,214168.0
1214,US-Canada Border,2000-03-01,Trucks,636750,580800.0
1213,US-Canada Border,2000-03-01,Bus Passengers,282823,265550.0
1212,US-Canada Border,2000-03-01,Personal Vehicles,2859058,2654326.0
1211,US-Mexico Border,2000-03-01,Trucks,414412,375243.0
1210,US-Mexico Border,2000-03-01,Truck Containers Full,215960,196555.0
1209,US-Canada Border,2000-03-01,Personal Vehicle Passengers,7000236,6028285.0
1208,US-Mexico Border,2000-03-01,Rail Containers Full,24006,19822.0
1207,US-Canada Border,2000-03-01,Pedestrians,26551,29356.0
1206,US-Mexico Border,2000-03-01,Truck Containers Empty,160582,155610.0
1205,US-Mexico Border,2000-03-01,Rail Containers Empty,27282,27555.0
1204,US-Canada Border,2000-03-01,Rail Containers Empty,34851,29845.0
1203,US-Mexico Border,2000-03-01,Pedestrians,4198321,4025498.0
1202,US-Canada Border,2000-03-01,Train Passengers,17383,15799.0
1201,US-Mexico Border,2000-03-01,Train Passengers,1222,1139.0
1200,US-Mexico Border,2000-03-01,Trains,580,515.0
1199,US-Canada Border,2000-02-01,Rail Containers Empty,28036,28088.0
1198,US-Canada Border,2000-02-01,Pedestrians,26137,33031.0
1197,US-Canada Border,2000-02-01,Truck Containers Full,407153,425172.0
1196,US-Mexico Border,2000-02-01,Truck Containers Full,207573,191264.0
1195,US-Mexico Border,2000-02-01,Personal Vehicle Passengers,19096013,20193601.0
1194,US-Mexico Border,2000-02-01,Bus Passengers,209012,213608.0
1193,US-Canada Border,2000-02-01,Train Passengers,15337,16040.0
1192,US-Mexico Border,2000-02-01,Train Passengers,1091,1250.0
1191,US-Canada Border,2000-02-01,Trucks,573543,573834.0
1190,US-Canada Border,2000-02-01,Bus Passengers,268268,288049.0
1189,US-Mexico Border,2000-02-01,Truck Containers Empty,156041,154939.0
1188,US-Mexico Border,2000-02-01,Personal Vehicles,7221382,7522427.0
1187,US-Canada Border,2000-02-01,Trains,2718,2649.0
1186,US-Canada Border,2000-02-01,Personal Vehicles,2478054,2719294.0
1185,US-Canada Border,2000-02-01,Truck Containers Empty,67966,70038.0
1184,US-Canada Border,2000-02-01,Rail Containers Full,95618,95390.0
1183,US-Mexico Border,2000-02-01,Trains,517,503.0
1182,US-Canada Border,2000-02-01,Personal Vehicle Passengers,5442787,6085246.0
1181,US-Mexico Border,2000-02-01,Trucks,377296,366996.0
1180,US-Mexico Border,2000-02-01,Buses,20468,22053.0
1179,US-Mexico Border,2000-02-01,Rail Containers Full,21280,18991.0
1178,US-Mexico Border,2000-02-01,Pedestrians,3869912,3925988.0
1177,US-Canada Border,2000-02-01,Buses,11564,12444.0
1176,US-Mexico Border,2000-02-01,Rail Containers Empty,26087,27712.0
1175,US-Mexico Border,2000-01-01,Personal Vehicles,7553666,7546630.0
1174,US-Mexico Border,2000-01-01,Personal Vehicle Passengers,20072198,20375020.0
1173,US-Canada Border,2000-01-01,Rail Containers Full,104359,94107.0
1172,US-Canada Border,2000-01-01,Buses,10534,13746.0
1171,US-Canada Border,2000-01-01,Truck Containers Empty,56803,70511.0
1170,US-Mexico Border,2000-01-01,Rail Containers Empty,27705,27345.0
1169,US-Canada Border,2000-01-01,Personal Vehicles,2414248,2904753.0
1168,US-Canada Border,2000-01-01,Trains,2573,2620.0
1167,US-Canada Border,2000-01-01,Rail Containers Empty,31134,28115.0
1166,US-Mexico Border,2000-01-01,Trucks,357426,363840.0
1165,US-Mexico Border,2000-01-01,Truck Containers Empty,153433,156808.0
1164,US-Mexico Border,2000-01-01,Rail Containers Full,18741,18883.0
1163,US-Canada Border,2000-01-01,Bus Passengers,234924,320157.0
1162,US-Canada Border,2000-01-01,Pedestrians,20905,38363.0
1161,US-Canada Border,2000-01-01,Trucks,562610,576895.0
1160,US-Mexico Border,2000-01-01,Trains,495,505.0
1159,US-Mexico Border,2000-01-01,Truck Containers Full,189184,187922.0
1158,US-Mexico Border,2000-01-01,Bus Passengers,205295,226184.0
1157,US-Mexico Border,2000-01-01,Pedestrians,3962633,3865617.0
1156,US-Canada Border,2000-01-01,Personal Vehicle Passengers,5322407,6607597.0
1155,US-Mexico Border,2000-01-01,Train Passengers,1037,1273.0
1154,US-Canada Border,2000-01-01,Train Passengers,14747,17859.0
1153,US-Canada Border,2000-01-01,Truck Containers Full,345201,433431.0
1152,US-Mexico Border,2000-01-01,Buses,21114,22972.0
1151,US-Canada Border,1999-12-01,Buses,10447,15822.0
1150,US-Mexico Border,1999-12-01,Pedestrians,4376708,3825730.0
1149,US-Mexico Border,1999-12-01,Rail Containers Full,17963,19229.0
1148,US-Mexico Border,1999-12-01,Rail Containers Empty,27902,26607.0
1147,US-Mexico Border,1999-12-01,Train Passengers,1011,1263.0
1146,US-Mexico Border,1999-12-01,Truck Containers Full,187457,187031.0
1145,US-Canada Border,1999-12-01,Train Passengers,16368,21659.0
1144,US-Canada Border,1999-12-01,Pedestrians,40904,50194.0
1143,US-Mexico Border,1999-12-01,Buses,23477,23938.0
1142,US-Canada Border,1999-12-01,Rail Containers Empty,25824,27627.0
1141,US-Canada Border,1999-12-01,Bus Passengers,234869,376989.0
1140,US-Canada Border,1999-12-01,Trains,2529,2667.0
1139,US-Mexico Border,1999-12-01,Truck Containers Empty,158818,158882.0
1138,US-Canada Border,1999-12-01,Truck Containers Full,405789,453585.0
1137,US-Canada Border,1999-12-01,Trucks,531633,583864.0
1136,US-Mexico Border,1999-12-01,Personal Vehicle Passengers,21420461,20414745.0
1135,US-Canada Border,1999-12-01,Personal Vehicle Passengers,6026165,7624340.0
1134,US-Mexico Border,1999-12-01,Personal Vehicles,7893894,7540596.0
1133,US-Canada Border,1999-12-01,Personal Vehicles,2706197,3240751.0
1132,US-Canada Border,1999-12-01,Rail Containers Full,92110,93818.0
1131,US-Canada Border,1999-12-01,Truck Containers Empty,64679,74514.0
1130,US-Mexico Border,1999-12-01,Trains,490,506.0
1129,US-Mexico Border,1999-12-01,Trucks,352977,365466.0
1128,US-Mexico Border,1999-12-01,Bus Passengers,216338,244521.0
1127,US-Canada Border,1999-11-01,Buses,14278,18159.0
1126,US-Canada Border,1999-11-01,Personal Vehicle Passengers,6349831,8428709.0
1125,US-Mexico Border,1999-11-01,Trains,492,507.0
1124,US-Mexico Border,1999-11-01,Buses,21678,24447.0
1123,US-Canada Border,1999-11-01,Truck Containers Full,497486,450836.0
1122,US-Canada Border,1999-11-01,Pedestrians,32282,58054.0
1121,US-Canada Border,1999-11-01,Trains,2686,2702.0
1120,US-Mexico Border,1999-11-01,Train Passengers,1332,1302.0
1119,US-Canada Border,1999-11-01,Train Passengers,15159,24673.0
1118,US-Mexico Border,1999-11-01,Bus Passengers,201365,264689.0
1117,US-Mexico Border,1999-11-01,Rail Containers Full,17121,19466.0
1116,US-Mexico Border,1999-11-01,Personal Vehicle Passengers,19672318,20133493.0
1115,US-Mexico Border,1999-11-01,Personal Vehicles,7323755,7484829.0
1114,US-Canada Border,1999-11-01,Personal Vehicles,2814074,3542224.0
1113,US-Mexico Border,1999-11-01,Trucks,374104,366965.0
1112,US-Canada Border,1999-11-01,Rail Containers Empty,29380,27944.0
1111,US-Canada Border,1999-11-01,Rail Containers Full,98459,91497.0
1110,US-Mexico Border,1999-11-01,Pedestrians,3719917,3721716.0
1109,US-Canada Border,1999-11-01,Truck Containers Empty,82135,74853.0
1108,US-Canada Border,1999-11-01,Bus Passengers,306868,438896.0
1107,US-Mexico Border,1999-11-01,Truck Containers Full,182601,190006.0
1106,US-Mexico Border,1999-11-01,Truck Containers Empty,149174,161750.0
1105,US-Mexico Border,1999-11-01,Rail Containers Empty,28801,25506.0
1104,US-Canada Border,1999-11-01,Trucks,599462,580974.0
1103,US-Canada Border,1999-10-01,Trucks,601920,580309.0
1102,US-Canada Border,1999-10-01,Rail Containers Full,86405,89077.0
1101,US-Mexico Border,1999-10-01,Rail Containers Empty,28065,24476.0
1100,US-Canada Border,1999-10-01,Rail Containers Empty,26064,27859.0
1099,US-Canada Border,1999-10-01,Pedestrians,44926,68417.0
1098,US-Mexico Border,1999-10-01,Trains,522,512.0
1097,US-Canada Border,1999-10-01,Personal Vehicle Passengers,7285038,8824374.0
1096,US-Mexico Border,1999-10-01,Truck Containers Empty,157229,164524.0
1095,US-Mexico Border,1999-10-01,Trucks,373179,368122.0
1094,US-Canada Border,1999-10-01,Truck Containers Empty,78609,73329.0
1093,US-Canada Border,1999-10-01,Truck Containers Full,470230,444311.0
1092,US-Canada Border,1999-10-01,Personal Vehicles,3183898,3662375.0
1091,US-Canada Border,1999-10-01,Train Passengers,18590,26726.0
1090,US-Mexico Border,1999-10-01,Personal Vehicle Passengers,20707014,20245024.0
1089,US-Mexico Border,1999-10-01,Bus Passengers,236030,286672.0
1088,US-Mexico Border,1999-10-01,Pedestrians,3700771,3722692.0
1087,US-Canada Border,1999-10-01,Trains,2740,2716.0
1086,US-Mexico Border,1999-10-01,Personal Vehicles,7619439,7520767.0
1085,US-Mexico Border,1999-10-01,Rail Containers Full,19851,20003.0
1084,US-Canada Border,1999-10-01,Bus Passengers,395318,472601.0
1083,US-Mexico Border,1999-10-01,Train Passengers,1781,1332.0
1082,US-Canada Border,1999-10-01,Buses,15398,19161.0
1081,US-Mexico Border,1999-10-01,Buses,23529,25077.0
1080,US-Mexico Border,1999-10-01,Truck Containers Full,189505,194312.0
1079,US-Canada Border,1999-09-01,Truck Containers Full,448447,443374.0
1078,US-Canada Border,1999-09-01,Personal Vehicle Passengers,8054542,9182056.0
1077,US-Canada Border,1999-09-01,Pedestrians,52797,74341.0
1076,US-Canada Border,1999-09-01,Trains,2574,2748.0
1075,US-Mexico Border,1999-09-01,Buses,25062,25364.0
1074,US-Mexico Border,1999-09-01,Trains,524,510.0
1073,US-Mexico Border,1999-09-01,Trucks,361516,365336.0
1072,US-Canada Border,1999-09-01,Rail Containers Full,89203,93549.0
1071,US-Canada Border,1999-09-01,Bus Passengers,428805,488190.0
1070,US-Mexico Border,1999-09-01,Rail Containers Empty,24251,23310.0
1069,US-Mexico Border,1999-09-01,Truck Containers Full,190865,195430.0
1068,US-Mexico Border,1999-09-01,Train Passengers,1205,1322.0
1067,US-Canada Border,1999-09-01,Trucks,588852,574259.0
1066,US-Mexico Border,1999-09-01,Truck Containers Empty,165388,164149.0
1065,US-Mexico Border,1999-09-01,Pedestrians,3568056,3796514.0
1064,US-Canada Border,1999-09-01,Truck Containers Empty,70329,71395.0
1063,US-Mexico Border,1999-09-01,Bus Passengers,271891,300002.0
1062,US-Mexico Border,1999-09-01,Personal Vehicle Passengers,20003107,20259038.0
1061,US-Canada Border,1999-09-01,Buses,18072,19694.0
1060,US-Mexico Border,1999-09-01,Rail Containers Full,20741,20215.0
1059,US-Canada Border,1999-09-01,Rail Containers Empty,28174,28884.0
1058,US-Canada Border,1999-09-01,Personal Vehicles,3405350,3669130.0
1057,US-Canada Border,1999-09-01,Train Passengers,24431,27200.0
1056,US-Mexico Border,1999-09-01,Personal Vehicles,7342397,7532921.0
1055,US-Mexico Border,1999-08-01,Bus Passengers,296982,306190.0
1054,US-Mexico Border,1999-08-01,Personal Vehicle Passengers,20270823,20205134.0
1053,US-Mexico Border,1999-08-01,Personal Vehicles,7523495,7519205.0
1052,US-Mexico Border,1999-08-01,Trucks,365554,366074.0
1051,US-Mexico Border,1999-08-01,Rail Containers Full,20468,19978.0
1050,US-Canada Border,1999-08-01,Trains,2805,2796.0
1049,US-Canada Border,1999-08-01,Truck Containers Full,445973,441057.0
1048,US-Canada Border,1999-08-01,Personal Vehicles,4094235,3547482.0
1047,US-Mexico Border,1999-08-01,Truck Containers Full,184725,197639.0
1046,US-Mexico Border,1999-08-01,Truck Containers Empty,163799,162921.0
1045,US-Canada Border,1999-08-01,Rail Containers Full,102915,96325.0
1044,US-Mexico Border,1999-08-01,Trains,504,503.0
1043,US-Mexico Border,1999-08-01,Pedestrians,3763196,3904887.0
1042,US-Mexico Border,1999-08-01,Train Passengers,986,1332.0
1041,US-Canada Border,1999-08-01,Rail Containers Empty,28691,29246.0
1040,US-Canada Border,1999-08-01,Train Passengers,33745,25900.0
1039,US-Canada Border,1999-08-01,Truck Containers Empty,76819,70779.0
1038,US-Mexico Border,1999-08-01,Buses,25943,25048.0
1037,US-Canada Border,1999-08-01,Pedestrians,80060,69340.0
1036,US-Canada Border,1999-08-01,Personal Vehicle Passengers,10406124,8854362.0
1035,US-Canada Border,1999-08-01,Buses,20914,18739.0
1034,US-Canada Border,1999-08-01,Bus Passengers,519084,471025.0
1033,US-Canada Border,1999-08-01,Trucks,597454,571043.0
1032,US-Mexico Border,1999-08-01,Rail Containers Empty,24015,23123.0
1031,US-Mexico Border,1999-07-01,Rail Containers Full,19151,19625.0
1030,US-Canada Border,1999-07-01,Bus Passengers,544407,414118.0
1029,US-Mexico Border,1999-07-01,Bus Passengers,317179,310268.0
1028,US-Canada Border,1999-07-01,Personal Vehicles,4213561,3268615.0
1027,US-Canada Border,1999-07-01,Train Passengers,31441,22202.0
1026,US-Mexico Border,1999-07-01,Pedestrians,3856641,4078625.0
1025,US-Mexico Border,1999-07-01,Train Passengers,1206,1489.0
1024,US-Mexico Border,1999-07-01,Truck Containers Full,202335,204654.0
1023,US-Canada Border,1999-07-01,Pedestrians,80203,58155.0
1022,US-Canada Border,1999-07-01,Truck Containers Empty,66373,70116.0
1021,US-Canada Border,1999-07-01,Trucks,517183,570499.0
1020,US-Canada Border,1999-07-01,Trains,2706,2814.0
1019,US-Mexico Border,1999-07-01,Personal Vehicle Passengers,20014202,20313627.0
1018,US-Canada Border,1999-07-01,Truck Containers Full,392045,449759.0
1017,US-Mexico Border,1999-07-01,Rail Containers Empty,22399,22108.0
1016,US-Mexico Border,1999-07-01,Trucks,360473,374596.0
1015,US-Mexico Border,1999-07-01,Personal Vehicles,7615057,7553259.0
1014,US-Mexico Border,1999-07-01,Truck Containers Empty,173161,166046.0
1013,US-Mexico Border,1999-07-01,Buses,26025,24776.0
1012,US-Canada Border,1999-07-01,Buses,22135,16677.0
1011,US-Mexico Border,1999-07-01,Trains,494,507.0
1010,US-Canada Border,1999-07-01,Rail Containers Empty,27410,29411.0
1009,US-Canada Border,1999-07-01,Personal Vehicle Passengers,10048010,8038540.0
1008,US-Canada Border,1999-07-01,Rail Containers Full,80503,96943.0
1007,US-Mexico Border,1999-06-01,Rail Containers Empty,23649,20372.0
1006,US-Mexico Border,1999-06-01,Personal Vehicle Passengers,20229972,19942297.0
1005,US-Canada Border,1999-06-01,Personal Vehicles,3414833,2905149.0
1004,US-Mexico Border,1999-06-01,Bus Passengers,311277,302838.0
1003,US-Canada Border,1999-06-01,Bus Passengers,475393,349939.0
1002,US-Canada Border,1999-06-01,Truck Containers Full,464862,455818.0
1001,US-Canada Border,1999-06-01,Trucks,596134,572007.0
1000,US-Canada Border,1999-06-01,Personal Vehicle Passengers,8328156,7170071.0
999,US-Canada Border,1999-06-01,Trains,2756,2815.0
998,US-Canada Border,1999-06-01,Buses,19285,14285.0
997,US-Mexico Border,1999-06-01,Trains,516,503.0
996,US-Mexico Border,1999-06-01,Train Passengers,1480,1503.0
995,US-Mexico Border,1999-06-01,Pedestrians,3724795,4141504.0
994,US-Canada Border,1999-06-01,Pedestrians,84100,47112.0
993,US-Mexico Border,1999-06-01,Truck Containers Empty,163045,160875.0
992,US-Mexico Border,1999-06-01,Rail Containers Full,19806,19073.0
991,US-Canada Border,1999-06-01,Rail Containers Empty,28958,29602.0
990,US-Canada Border,1999-06-01,Train Passengers,25423,18778.0
989,US-Mexico Border,1999-06-01,Trucks,379890,370155.0
988,US-Canada Border,1999-06-01,Truck Containers Empty,74513,69441.0
987,US-Canada Border,1999-06-01,Rail Containers Full,86361,100818.0
986,US-Mexico Border,1999-06-01,Buses,24824,23921.0
985,US-Mexico Border,1999-06-01,Truck Containers Full,204129,200036.0
984,US-Mexico Border,1999-06-01,Personal Vehicles,7503447,7372068.0
983,US-Canada Border,1999-05-01,Trains,2899,2827.0
982,US-Mexico Border,1999-05-01,Trucks,359245,358206.0
981,US-Canada Border,1999-05-01,Buses,18065,12230.0
980,US-Mexico Border,1999-05-01,Buses,24966,23456.0
979,US-Canada Border,1999-05-01,Pedestrians,74546,34512.0
978,US-Mexico Border,1999-05-01,Truck Containers Empty,155354,157291.0
977,US-Canada Border,1999-05-01,Truck Containers Empty,68943,67661.0
976,US-Canada Border,1999-05-01,Bus Passengers,473262,292546.0
975,US-Canada Border,1999-05-01,Train Passengers,20959,16803.0
974,US-Canada Border,1999-05-01,Rail Containers Empty,31185,28613.0
973,US-Mexico Border,1999-05-01,Trains,512,495.0
972,US-Canada Border,1999-05-01,Personal Vehicles,3217670,2677552.0
971,US-Canada Border,1999-05-01,Trucks,571670,556962.0
970,US-Canada Border,1999-05-01,Personal Vehicle Passengers,9073447,6574266.0
969,US-Mexico Border,1999-05-01,Bus Passengers,302680,301411.0
968,US-Mexico Border,1999-05-01,Pedestrians,4069884,4300630.0
967,US-Canada Border,1999-05-01,Rail Containers Full,108762,102996.0
966,US-Mexico Border,1999-05-01,Rail Containers Full,20911,18183.0
965,US-Canada Border,1999-05-01,Truck Containers Full,465542,441319.0
964,US-Mexico Border,1999-05-01,Rail Containers Empty,22234,19056.0
963,US-Mexico Border,1999-05-01,Truck Containers Full,195097,193640.0
962,US-Mexico Border,1999-05-01,Personal Vehicle Passengers,20777088,19840883.0
961,US-Mexico Border,1999-05-01,Train Passengers,1732,1434.0
960,US-Mexico Border,1999-05-01,Personal Vehicles,7680209,7329652.0
959,US-Mexico Border,1999-04-01,Rail Containers Empty,23316,18218.0
958,US-Mexico Border,1999-04-01,Bus Passengers,302832,298803.0
957,US-Canada Border,1999-04-01,Truck Containers Empty,67246,65953.0
956,US-Mexico Border,1999-04-01,Personal Vehicles,7273817,7251256.0
955,US-Mexico Border,1999-04-01,Rail Containers Full,19554,17264.0
954,US-Canada Border,1999-04-01,Bus Passengers,342981,240099.0
953,US-Canada Border,1999-04-01,Personal Vehicles,2797112,2543193.0
952,US-Mexico Border,1999-04-01,Pedestrians,4109917,4426059.0
951,US-Mexico Border,1999-04-01,Trains,490,490.0
950,US-Mexico Border,1999-04-01,Train Passengers,1257,1303.0
949,US-Canada Border,1999-04-01,Train Passengers,17930,15943.0
948,US-Canada Border,1999-04-01,Pedestrians,27792,27276.0
947,US-Mexico Border,1999-04-01,Personal Vehicle Passengers,19733584,19625203.0
946,US-Canada Border,1999-04-01,Personal Vehicle Passengers,6416075,5939988.0
945,US-Mexico Border,1999-04-01,Truck Containers Empty,159246,155845.0
944,US-Mexico Border,1999-04-01,Truck Containers Full,201908,186070.0
943,US-Canada Border,1999-04-01,Trucks,572772,540715.0
942,US-Canada Border,1999-04-01,Buses,13294,10696.0
941,US-Mexico Border,1999-04-01,Trucks,365208,351655.0
940,US-Canada Border,1999-04-01,Trains,2816,2765.0
939,US-Canada Border,1999-04-01,Truck Containers Full,436864,425678.0
938,US-Mexico Border,1999-04-01,Buses,23484,23109.0
937,US-Canada Border,1999-04-01,Rail Containers Full,103082,98586.0
936,US-Canada Border,1999-04-01,Rail Containers Empty,29988,27351.0
935,US-Mexico Border,1999-03-01,Train Passengers,1768,1386.0
934,US-Canada Border,1999-03-01,Personal Vehicle Passengers,6327011,5884752.0
933,US-Mexico Border,1999-03-01,Pedestrians,4631886,4334606.0
932,US-Mexico Border,1999-03-01,Truck Containers Full,219800,180159.0
931,US-Mexico Border,1999-03-01,Buses,24582,22737.0
930,US-Canada Border,1999-03-01,Rail Containers Empty,29515,26534.0
929,US-Canada Border,1999-03-01,Bus Passengers,234546,230762.0
928,US-Mexico Border,1999-03-01,Rail Containers Empty,18940,17403.0
927,US-Canada Border,1999-03-01,Trains,2891,2738.0
926,US-Mexico Border,1999-03-01,Personal Vehicles,7693763,7176294.0
925,US-Canada Border,1999-03-01,Truck Containers Empty,73503,64665.0
924,US-Mexico Border,1999-03-01,Bus Passengers,317374,292900.0
923,US-Mexico Border,1999-03-01,Truck Containers Empty,179422,154598.0
922,US-Mexico Border,1999-03-01,Rail Containers Full,18701,16223.0
921,US-Canada Border,1999-03-01,Rail Containers Full,106008,95476.0
920,US-Canada Border,1999-03-01,Personal Vehicles,2699899,2516960.0
919,US-Canada Border,1999-03-01,Truck Containers Full,489481,418905.0
918,US-Mexico Border,1999-03-01,Trains,521,491.0
917,US-Canada Border,1999-03-01,Pedestrians,24134,28435.0
916,US-Mexico Border,1999-03-01,Personal Vehicle Passengers,20813291,19402151.0
915,US-Canada Border,1999-03-01,Trucks,594737,531818.0
914,US-Canada Border,1999-03-01,Train Passengers,15255,15393.0
913,US-Canada Border,1999-03-01,Buses,10605,10360.0
912,US-Mexico Border,1999-03-01,Trucks,408162,344499.0
911,US-Mexico Border,1999-02-01,Rail Containers Empty,13720,17342.0
910,US-Canada Border,1999-02-01,Rail Containers Full,99877,92824.0
909,US-Mexico Border,1999-02-01,Personal Vehicle Passengers,18157552,19140355.0
908,US-Canada Border,1999-02-01,Truck Containers Full,422341,400728.0
907,US-Mexico Border,1999-02-01,Bus Passengers,280026,293969.0
906,US-Mexico Border,1999-02-01,Pedestrians,4171037,4124299.0
905,US-Canada Border,1999-02-01,Buses,10174,11115.0
904,US-Mexico Border,1999-02-01,Truck Containers Full,179244,172554.0
903,US-Canada Border,1999-02-01,Truck Containers Empty,62998,62842.0
902,US-Canada Border,1999-02-01,Trucks,524723,521250.0
901,US-Mexico Border,1999-02-01,Train Passengers,1280,1309.0
900,US-Mexico Border,1999-02-01,Buses,21748,22402.0
899,US-Mexico Border,1999-02-01,Personal Vehicles,6709102,7083543.0
898,US-Canada Border,1999-02-01,Bus Passengers,223511,248835.0
897,US-Canada Border,1999-02-01,Personal Vehicle Passengers,5705666,6037380.0
896,US-Mexico Border,1999-02-01,Trucks,338269,328723.0
895,US-Canada Border,1999-02-01,Pedestrians,24990,32207.0
894,US-Mexico Border,1999-02-01,Rail Containers Full,16394,15749.0
893,US-Mexico Border,1999-02-01,Truck Containers Empty,147307,148939.0
892,US-Canada Border,1999-02-01,Train Passengers,14324,15788.0
891,US-Canada Border,1999-02-01,Trains,2713,2717.0
890,US-Canada Border,1999-02-01,Personal Vehicles,2396230,2574639.0
889,US-Canada Border,1999-02-01,Rail Containers Empty,28366,26377.0
888,US-Mexico Border,1999-02-01,Trains,476,488.0
887,US-Canada Border,1999-01-01,Trains,2815,2724.0
886,US-Canada Border,1999-01-01,Trucks,520907,528058.0
885,US-Mexico Border,1999-01-01,Truck Containers Empty,145128,146712.0
884,US-Mexico Border,1999-01-01,Train Passengers,1131,1208.0
883,US-Mexico Border,1999-01-01,Rail Containers Empty,17068,17905.0
882,US-Canada Border,1999-01-01,Truck Containers Empty,65616,63270.0
881,US-Canada Border,1999-01-01,Train Passengers,15547,17420.0
880,US-Mexico Border,1999-01-01,Trains,478,492.0
879,US-Mexico Border,1999-01-01,Personal Vehicles,7291370,7085372.0
878,US-Canada Border,1999-01-01,Pedestrians,21096,37983.0
877,US-Canada Border,1999-01-01,Personal Vehicle Passengers,5349130,6485757.0
876,US-Mexico Border,1999-01-01,Buses,22501,22228.0
875,US-Canada Border,1999-01-01,Bus Passengers,188428,281979.0
874,US-Mexico Border,1999-01-01,Truck Containers Full,172150,168624.0
873,US-Mexico Border,1999-01-01,Rail Containers Full,15353,15625.0
872,US-Canada Border,1999-01-01,Rail Containers Full,97251,89351.0
871,US-Canada Border,1999-01-01,Personal Vehicles,2276851,2752495.0
870,US-Canada Border,1999-01-01,Buses,9010,12427.0
869,US-Mexico Border,1999-01-01,Personal Vehicle Passengers,19722898,19109257.0
868,US-Mexico Border,1999-01-01,Trucks,320144,326970.0
867,US-Canada Border,1999-01-01,Rail Containers Empty,24012,25826.0
866,US-Canada Border,1999-01-01,Truck Containers Full,392369,393585.0
865,US-Mexico Border,1999-01-01,Bus Passengers,304144,290923.0
864,US-Mexico Border,1999-01-01,Pedestrians,4520426,3918939.0
863,US-Canada Border,1998-12-01,Truck Containers Full,387333,394285.0
862,US-Mexico Border,1998-12-01,Rail Containers Empty,18045,17750.0
861,US-Canada Border,1998-12-01,Buses,10396,14705.0
860,US-Canada Border,1998-12-01,Rail Containers Full,86713,85979.0
859,US-Canada Border,1998-12-01,Train Passengers,16657,20754.0
858,US-Mexico Border,1998-12-01,Train Passengers,1080,1189.0
857,US-Canada Border,1998-12-01,Pedestrians,38366,49768.0
856,US-Mexico Border,1998-12-01,Pedestrians,4697031,3688060.0
855,US-Mexico Border,1998-12-01,Personal Vehicles,7288229,7071352.0
854,US-Mexico Border,1998-12-01,Trucks,326492,326146.0
853,US-Mexico Border,1998-12-01,Rail Containers Full,16316,15968.0
852,US-Mexico Border,1998-12-01,Buses,23228,22265.0
851,US-Canada Border,1998-12-01,Rail Containers Empty,24874,27048.0
850,US-Canada Border,1998-12-01,Bus Passengers,211030,338190.0
849,US-Mexico Border,1998-12-01,Truck Containers Full,157249,163488.0
848,US-Mexico Border,1998-12-01,Trains,484,497.0
847,US-Mexico Border,1998-12-01,Truck Containers Empty,148121,143350.0
846,US-Canada Border,1998-12-01,Trains,2592,2698.0
845,US-Canada Border,1998-12-01,Personal Vehicle Passengers,5902056,7467082.0
844,US-Mexico Border,1998-12-01,Bus Passengers,289641,295529.0
843,US-Mexico Border,1998-12-01,Personal Vehicle Passengers,19698688,19044988.0
842,US-Canada Border,1998-12-01,Trucks,490438,528897.0
841,US-Canada Border,1998-12-01,Truck Containers Empty,60402,62629.0
840,US-Canada Border,1998-12-01,Personal Vehicles,2545873,3079822.0
839,US-Canada Border,1998-11-01,Bus Passengers,296294,387304.0
838,US-Mexico Border,1998-11-01,Bus Passengers,273317,305380.0
837,US-Mexico Border,1998-11-01,Personal Vehicle Passengers,18618325,18778044.0
836,US-Canada Border,1998-11-01,Personal Vehicles,2665949,3373247.0
835,US-Canada Border,1998-11-01,Train Passengers,15182,23588.0
834,US-Canada Border,1998-11-01,Rail Containers Empty,25904,27408.0
833,US-Canada Border,1998-11-01,Rail Containers Full,87531,83617.0
832,US-Mexico Border,1998-11-01,Truck Containers Empty,153013,141308.0
831,US-Mexico Border,1998-11-01,Rail Containers Empty,19244,17345.0
830,US-Canada Border,1998-11-01,Trains,2681,2688.0
829,US-Canada Border,1998-11-01,Pedestrians,33591,58709.0
828,US-Mexico Border,1998-11-01,Trains,496,494.0
827,US-Canada Border,1998-11-01,Trucks,528285,527434.0
826,US-Mexico Border,1998-11-01,Pedestrians,3652648,3403878.0
825,US-Mexico Border,1998-11-01,Buses,21628,22147.0
824,US-Mexico Border,1998-11-01,Truck Containers Full,172353,164316.0
823,US-Mexico Border,1998-11-01,Rail Containers Full,14353,15413.0
822,US-Canada Border,1998-11-01,Personal Vehicle Passengers,6139896,8309127.0
821,US-Mexico Border,1998-11-01,Trucks,329426,325142.0
820,US-Canada Border,1998-11-01,Buses,11617,16644.0
819,US-Mexico Border,1998-11-01,Train Passengers,1673,1105.0
818,US-Canada Border,1998-11-01,Truck Containers Empty,60806,62565.0
817,US-Mexico Border,1998-11-01,Personal Vehicles,6899007,6976840.0
816,US-Canada Border,1998-11-01,Truck Containers Full,402999,380779.0
815,US-Canada Border,1998-10-01,Bus Passengers,324912,414917.0
814,US-Mexico Border,1998-10-01,Trucks,329285,327090.0
813,US-Canada Border,1998-10-01,Buses,14379,18082.0
812,US-Mexico Border,1998-10-01,Buses,22905,22166.0
811,US-Canada Border,1998-10-01,Rail Containers Full,92747,80494.0
810,US-Canada Border,1998-10-01,Truck Containers Empty,64386,61455.0
809,US-Mexico Border,1998-10-01,Truck Containers Empty,151127,137840.0
808,US-Mexico Border,1998-10-01,Pedestrians,3580355,3361226.0
